productId,productName,category,brandKey,existingStores,missingStores,cand1Store,cand1Score,cand1Title,cand1Id,cand2Store,cand2Score,cand2Title,cand2Id,bothActionable,oneActionable,bestAction,productUrl
5767,"Bucket Banger Cuarzo Diseño Blazy Susan 14mm Macho | PIRANHA",Accesorios de extraccion,blazy-susan,"Astro Growshop | Piranha","Fumetas | GrowBarato Chile",Fumetas,0,"",,GrowBarato Chile,0,"",,false,false,"sin ofertas de esa marca en las tiendas faltantes","/productos/blazy-susan/banger-diseno-macho-14mm"
5731,"Blazy Susan Cenicero Deluxe",Bandejas y ceniceros,blazy-susan,"Fumetas | Piranha","Astro Growshop | GrowBarato Chile",Astro Growshop,0,"",,GrowBarato Chile,0,"",,false,false,"sin ofertas de esa marca en las tiendas faltantes","/productos/blazy-susan/ashtray-deluxe"
5732,"Bandeja Enrolado Neon Tray LED",Bandejas y ceniceros,bonglab,"Astro Growshop | Piranha","Fumetas | GrowBarato Chile",Fumetas,0,"",,GrowBarato Chile,0,"",,false,false,"sin ofertas de esa marca en las tiendas faltantes","/productos/bonglab/neon-led"
5733,"CENICERO ASH HOLDER GLOW IN THE DARK - GALAXY",Bandejas y ceniceros,galaxy,"Astro Growshop | Fumetas","Piranha | GrowBarato Chile",Piranha,0,"",,GrowBarato Chile,0.38,"Galaxy Stardust cenicero de metal",542,false,false,"hay ofertas pero score bajo — mejorar matching","/productos/galaxy/ashtray-ash-holder"
5734,"Bandeja Metálica RAW Brazilian Girl | PIRANHA",Bandejas y ceniceros,raw,"Astro Growshop | Piranha","Fumetas | GrowBarato Chile",Fumetas,0,"",,GrowBarato Chile,0,"",,false,false,"hay ofertas pero score bajo — mejorar matching","/productos/raw/brazilian-girl-metal-medium"
5773,"Classic Ice 26Cm-Bonglab",Bongs,bonglab,"Astro Growshop | Piranha","Fumetas | GrowBarato Chile",Fumetas,0.38,"BongLab Bong Kraken KC47 37cm",2981,GrowBarato Chile,0.58,"Bong Pyrex Classic resistente y de calidad",2317,false,true,"solo GrowBarato Chile tiene candidato","/productos/bonglab/classic-ice"
5772,"Classic Ice Pro-Bonglab",Bongs,bonglab,"Astro Growshop | Piranha","Fumetas | GrowBarato Chile",Fumetas,0.38,"BongLab Bong Kraken KC47 37cm",2981,GrowBarato Chile,0.58,"Bong Pyrex Classic resistente y de calidad",2317,false,true,"solo GrowBarato Chile tiene candidato","/productos/bonglab/classic-ice-pro"
5525,"Dream Rig-Bonglab",Bongs,bonglab,"Astro Growshop | Piranha","Fumetas | GrowBarato Chile",Fumetas,0.38,"BongLab Bong Kraken KC47 37cm",2981,GrowBarato Chile,0.44,"Bonglab bong clásico 25 cm de calidad",551,false,false,"hay ofertas pero score bajo — mejorar matching","/productos/bonglab/dream-rig"
5521,"Bong Glycerin Thicc",Bongs,bonglab,"Fumetas | Piranha","Astro Growshop | GrowBarato Chile",Astro Growshop,0.44,"Double Shot -Bonglab",187,GrowBarato Chile,0.44,"Bong k30 42 cm Bonglab",2286,false,false,"hay ofertas pero score bajo — mejorar matching","/productos/bonglab/glycerin-thicc"
5774,"Bong Heavy Trash",Bongs,bonglab,"Astro Growshop | Piranha","Fumetas | GrowBarato Chile",Fumetas,0.44,"BongLab Bong Kraken KC47 37cm",2981,GrowBarato Chile,0.44,"Bong Cristal Bonglab 46 cm para fumar hierba",3152,false,false,"hay ofertas pero score bajo — mejorar matching","/productos/bonglab/heavy-trash"
5775,"Honey Waffle -Bonglab",Bongs,bonglab,"Astro Growshop | Fumetas","Piranha | GrowBarato Chile",Piranha,0,"",,GrowBarato Chile,0.44,"Bong Pyrex Classic resistente y de calidad",2317,false,false,"hay ofertas pero score bajo — mejorar matching","/productos/bonglab/honey-waffle"
5776,"Jelly Fish-Bonglab",Bongs,bonglab,"Astro Growshop | Piranha","Fumetas | GrowBarato Chile",Fumetas,0.44,"BongLab Bong Kraken KC47 37cm",2981,GrowBarato Chile,0.44,"Bong Cristal Bonglab 46 cm para fumar hierba",3152,false,false,"hay ofertas pero score bajo — mejorar matching","/productos/bonglab/jelly-fish"
5527,"Bong Bonglab KM8 Viper Rig Teal 21cm | de borosilicato",Bongs,bonglab,"Fumetas | GrowBarato Chile","Astro Growshop | Piranha",Astro Growshop,0.54,"Purple Rig Purple-Bonglab",431,Piranha,0,"",,false,false,"hay ofertas pero score bajo — mejorar matching","/productos/bonglab/km8-viper"
5777,"Little Buchner-Bonglab",Bongs,bonglab,"Astro Growshop | Piranha","Fumetas | GrowBarato Chile",Fumetas,0.38,"BongLab Bong Kraken KC47 37cm",2981,GrowBarato Chile,0.44,"Bonglab bong clásico 25 cm de calidad",551,false,false,"hay ofertas pero score bajo — mejorar matching","/productos/bonglab/little-buchner"
5531,"Bong Pyrex 28cm Bonglab Space Oddity Clear K306 | Doble Percolación",Bongs,bonglab,"Fumetas | GrowBarato Chile","Astro Growshop | Piranha",Astro Growshop,0.44,"Purple Rig Purple-Bonglab",431,Piranha,0,"",,false,false,"hay ofertas pero score bajo — mejorar matching","/productos/bonglab/space-oddity"
