metric,value
runId,2026-06-11T03-31-03-032Z
generatedAt,2026-06-11T03:31:03.345Z
regeneratedFiles,00-summary.csv | 01-home-visible.csv | 02-visible-products.csv | 03-categories.csv | 04-risks.csv | 05-opportunities.csv | 06-single-store-curated.csv | 07-two-store-curated.csv | 08-three-store-curated.csv | 09-four-store-curated.csv
stores,Astro Growshop | Fumetas | GrowBarato Chile | Piranha
totalOffers,2779
curatedProducts,317
visibleProducts,285
singleStoreCuratedProducts,32
homeProducts,285
twoStoreProducts,160
threeStoreProducts,81
fourStoreProducts,44
missingImages,0
